gene,compound,compound_code,cui,relationship,source
NR1H3 gene,Glipizide,3478,C0017642,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Haloperidol,3559,C0018546,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Haloperidol,3559,C0018546,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Kanamycin,6032,C0022487,positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Kanamycin,6032,C0022487,inverse_positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Melatonin,896,C0025219,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Melatonin,896,C0025219,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Melperone,15387,PUBCHEM:15387 CUI,negatively_regulates,LINCS
NR1H3 gene,Melperone,15387,PUBCHEM:15387 CUI,negatively_regulated_by,LINCS
NR1H3 gene,Meropenem,441130,C0066005,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Meropenem,441130,C0066005,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Methotrexate,126941,C0025677,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Methotrexate,126941,C0025677,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Nortriptyline,4543,C0028420,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Nortriptyline,4543,C0028420,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Pioglitazone,4829,C0071097,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Pioglitazone,4829,C0071097,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Piperacillin,43672,C0031955,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Piperacillin,43672,C0031955,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Primaquine,4908,C0033126,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Primaquine,4908,C0033126,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Reserpine,5770,C0035179,positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Reserpine,5770,C0035179,inverse_positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11111262,3637,C0020223,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11111262,3637,C0020223,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11111775,5335,C0038706,positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11111775,5335,C0038706,inverse_positively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11112531,3055,C0058371,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11112531,3055,C0058371,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11112786,5472,C0040207,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,SID11112786,5472,C0040207,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfacetamide,5320,C0038670,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfacetamide,5320,C0038670,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfadimethoxine,5323,C0038676,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfadimethoxine,5323,C0038676,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfamerazine,5325,C0038684,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Sulfamerazine,5325,C0038684,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Trazodone,5533,C0040805,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,Trazodone,5533,C0040805,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,clozapine,135398737,C0009079,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,clozapine,135398737,C0009079,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,gabapentin,3446,C0060926,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,gabapentin,3446,C0060926,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,hydroxyzine,3658,C0020404,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,hydroxyzine,3658,C0020404,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,nalidixic-acid,4421,C0027353,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,nalidixic-acid,4421,C0027353,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,prednisolone,5755,C0032950,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,prednisolone,5755,C0032950,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,pregnenolone,8955,C0373704,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,pregnenolone,8955,C0373704,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,profenamine,688098,C0015042,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,profenamine,688098,C0015042,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,sotalol,5253,C0037707,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,sotalol,5253,C0037707,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,spironolactone,5833,C0037982,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,spironolactone,5833,C0037982,inverse_negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,syrosingopine,6769,PUBCHEM:6769 CUI,negatively_regulates,LINCS
NR1H3 gene,syrosingopine,6769,PUBCHEM:6769 CUI,negatively_regulated_by,LINCS
NR1H3 gene,terbutaline,5403,C0039542,negatively_correlated_with_chemical_or_drug,CMAP
NR1H3 gene,terbutaline,5403,C0039542,inverse_negatively_correlated_with_chemical_or_drug,CMAP
TYROBP gene,"(-)-Phenyl-carbamic acid 1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydro-pyrrolo[2,3-b]indol-5-yl ester",192706,PUBCHEM:192706 CUI,positively_regulates,LINCS
TYROBP gene,"(-)-Phenyl-carbamic acid 1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydro-pyrrolo[2,3-b]indol-5-yl ester",192706,PUBCHEM:192706 CUI,positively_regulated_by,LINCS
TYROBP gene,"7,8-dihydroxy-6-methoxy-2H-chromen-2-one",5273569,PUBCHEM:5273569 CUI,negatively_regulates,LINCS
TYROBP gene,"7,8-dihydroxy-6-methoxy-2H-chromen-2-one",5273569,PUBCHEM:5273569 CUI,negatively_regulated_by,LINCS
TYROBP gene,Altizide,2122,PUBCHEM:2122 CUI,positively_regulates,LINCS
TYROBP gene,Altizide,2122,PUBCHEM:2122 CUI,positively_regulated_by,LINCS
TYROBP gene,BG-1018,135886614,PUBCHEM:135886614 CUI,negatively_regulates,LINCS
TYROBP gene,BG-1018,135886614,PUBCHEM:135886614 CUI,negatively_regulated_by,LINCS
TYROBP gene,Bromopride,2446,PUBCHEM:2446 CUI,negatively_regulates,LINCS
TYROBP gene,Bromopride,2446,PUBCHEM:2446 CUI,negatively_regulated_by,LINCS
TYROBP gene,Bromperidol,2448,PUBCHEM:2448 CUI,positively_regulates,LINCS
TYROBP gene,Bromperidol,2448,PUBCHEM:2448 CUI,positively_regulated_by,LINCS
TYROBP gene,CGP-54626,3489614,PUBCHEM:3489614 CUI,negatively_regulates,LINCS
TYROBP gene,CGP-54626,3489614,PUBCHEM:3489614 CUI,negatively_regulated_by,LINCS
TYROBP gene,DMNB,88505,PUBCHEM:88505 CUI,positively_regulates,LINCS
TYROBP gene,DMNB,88505,PUBCHEM:88505 CUI,positively_regulated_by,LINCS
TYROBP gene,KU-C103874,3579902,PUBCHEM:3579902 CUI,positively_regulates,LINCS
TYROBP gene,KU-C103874,3579902,PUBCHEM:3579902 CUI,positively_regulated_by,LINCS
TYROBP gene,KU-C104131,44602406,PUBCHEM:44602406 CUI,negatively_regulates,LINCS
TYROBP gene,KU-C104131,44602406,PUBCHEM:44602406 CUI,negatively_regulated_by,LINCS
TYROBP gene,MW-A1-2,3125011,PUBCHEM:3125011 CUI,positively_regulates,LINCS
TYROBP gene,MW-A1-2,3125011,PUBCHEM:3125011 CUI,positively_regulated_by,LINCS
TYROBP gene,Robustic-acid,54677407,PUBCHEM:54677407 CUI,positively_regulates,LINCS
TYROBP gene,Robustic-acid,54677407,PUBCHEM:54677407 CUI,positively_regulated_by,LINCS
TYROBP gene,SA-1459430,54658771,PUBCHEM:54658771 CUI,positively_regulates,LINCS
TYROBP gene,SA-1459430,54658771,PUBCHEM:54658771 CUI,positively_regulated_by,LINCS
TYROBP gene,SD-6-035-A3,49843054,PUBCHEM:49843054 CUI,positively_regulates,LINCS
TYROBP gene,SD-6-035-A3,49843054,PUBCHEM:49843054 CUI,positively_regulated_by,LINCS
TYROBP gene,Suvorexant,24965990,PUBCHEM:24965990 CUI,negatively_regulates,LINCS
TYROBP gene,Suvorexant,24965990,PUBCHEM:24965990 CUI,negatively_regulated_by,LINCS
TYROBP gene,VU-0413255-1,23036271,PUBCHEM:23036271 CUI,positively_regulates,LINCS
TYROBP gene,VU-0413255-1,23036271,PUBCHEM:23036271 CUI,positively_regulated_by,LINCS
TYROBP gene,clonixin-lysinate,3080836,PUBCHEM:3080836 CUI,negatively_regulates,LINCS
TYROBP gene,clonixin-lysinate,3080836,PUBCHEM:3080836 CUI,negatively_regulated_by,LINCS
TYROBP gene,firategrast,9935681,PUBCHEM:9935681 CUI,positively_regulates,LINCS
TYROBP gene,firategrast,9935681,PUBCHEM:9935681 CUI,positively_regulated_by,LINCS
TYROBP gene,inhibitor-BEC,16760312,PUBCHEM:16760312 CUI,negatively_regulates,LINCS
TYROBP gene,inhibitor-BEC,16760312,PUBCHEM:16760312 CUI,negatively_regulated_by,LINCS
TYROBP gene,isoeugenol,5318562,PUBCHEM:5318562 CUI,negatively_regulates,LINCS
TYROBP gene,isoeugenol,5318562,PUBCHEM:5318562 CUI,negatively_regulated_by,LINCS
TYROBP gene,"isopropyl 4-(1-(2-fluoro-4-(methylsulfonyl)phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yloxy)piperidine-1-carboxylate",11705608,PUBCHEM:11705608 CUI,negatively_regulates,LINCS
TYROBP gene,"isopropyl 4-(1-(2-fluoro-4-(methylsulfonyl)phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yloxy)piperidine-1-carboxylate",11705608,PUBCHEM:11705608 CUI,negatively_regulated_by,LINCS
TYROBP gene,safrolglycol,97807,PUBCHEM:97807 CUI,positively_regulates,LINCS
TYROBP gene,safrolglycol,97807,PUBCHEM:97807 CUI,positively_regulated_by,LINCS
