gene,compound,pubchem_cid,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,SMILES,rough_ro5_pass,rough_bbb_candidate,inchikey,dc_status,dc_struct_id,dc_name,atc_code,is_approved_drug
NR1H3 gene,Cinchocaine,3025.0,343.5,4.4,54.5,1.0,4.0,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,True,True,PUFQVTATUTYEAL-UHFFFAOYSA-N,found,859.0,cinchocaine,C05AD04,True
NR1H3 gene,Genistein,5280961.0,270.24,2.7,87.0,3.0,5.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,True,True,TZBJGXHYKVUXJN-UHFFFAOYSA-N,not_in_drugcentral,,,,
NR1H3 gene,Glipizide,3478.0,445.5,1.9,139.0,3.0,6.0,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,True,True,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,found,1301.0,glipizide,A10BB07,True
NR1H3 gene,Haloperidol,3559.0,375.9,3.2,40.5,1.0,4.0,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,True,True,LNEPOXFFQSENCJ-UHFFFAOYSA-N,found,1353.0,haloperidol,N05AD01,True
NR1H3 gene,Melatonin,896.0,232.28,0.8,54.1,2.0,2.0,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,True,True,DRLFMBDRBRZALE-UHFFFAOYSA-N,found,1672.0,melatonin,N05CH01,True
NR1H3 gene,Melperone,15387.0,263.35,3.3,20.3,0.0,3.0,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,True,True,DKMFBWQBDIGMHM-UHFFFAOYSA-N,found,1677.0,melperone,N05AD03,True
NR1H3 gene,Nortriptyline,4543.0,263.4,4.5,12.0,1.0,1.0,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,True,True,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,found,1971.0,nortriptyline,N06AA10,True
NR1H3 gene,Pioglitazone,4829.0,356.4,3.8,93.6,1.0,5.0,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,True,True,HYAFETHFCAUJAY-UHFFFAOYSA-N,found,2179.0,pioglitazone,A10BD05,True
NR1H3 gene,Primaquine,4908.0,259.35,2.2,60.2,2.0,4.0,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,True,True,INDBQLZJXZLFIT-UHFFFAOYSA-N,found,2266.0,primaquine,P01BA03,True
NR1H3 gene,Sulfadimethoxine,5323.0,310.33,1.6,125.0,2.0,8.0,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,True,True,ZZORFUFYDOWNEF-UHFFFAOYSA-N,found,2501.0,sulfadimethoxine,J01ED01,True
NR1H3 gene,Trazodone,5533.0,371.9,2.8,42.4,0.0,4.0,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,True,True,PHLBKPHSAVXXEF-UHFFFAOYSA-N,found,2717.0,trazodone,N06AX05,True
NR1H3 gene,clozapine,135398737.0,326.8,3.1,30.9,1.0,3.0,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,True,True,QZUDBNBUXVUHMW-UHFFFAOYSA-N,found,722.0,clozapine,N05AH02,True
NR1H3 gene,gabapentin,3446.0,171.24,-1.1,63.3,2.0,3.0,C1CCC(CC1)(CC(=O)O)CN,True,True,UGJMXCAKCUNAIE-UHFFFAOYSA-N,found,1264.0,gabapentin,N02BF01,True
NR1H3 gene,hydroxyzine,3658.0,374.9,3.7,35.9,1.0,4.0,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,True,True,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,found,1400.0,hydroxyzine,N05BB01,True
NR1H3 gene,nalidixic-acid,4421.0,232.23,1.4,70.5,1.0,5.0,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,True,True,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,found,1875.0,nalidixic acid,J01MB02,True
NR1H3 gene,prednisolone,5755.0,360.4,1.6,94.8,3.0,5.0,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,True,True,OIGNJSKKLXVSLS-VWUMJDOOSA-N,found,2245.0,prednisolone,A01AC04,True
NR1H3 gene,pregnenolone,8955.0,316.5,4.2,37.3,1.0,2.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,True,True,ORNBQBCIOKFOEO-QGVNFLHTSA-N,not_in_drugcentral,,,,
NR1H3 gene,profenamine,3290.0,312.5,4.8,31.8,0.0,3.0,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,True,True,CDOZDBSBBXSXLB-UHFFFAOYSA-N,found,1086.0,profenamine,N04AA05,True
NR1H3 gene,sotalol,5253.0,272.37,0.2,86.8,3.0,5.0,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,True,True,ZBMZVLHSJCTVON-UHFFFAOYSA-N,found,2464.0,sotalol,C07AA07,True
NR1H3 gene,spironolactone,5833.0,416.6,2.9,85.7,0.0,5.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,True,True,LXMSZDCAJNLERA-ZHYRCANASA-N,found,2475.0,spironolactone,C03DA01,True
TYROBP gene,"7,8-dihydroxy-6-methoxy-2H-chromen-2-one",5273569.0,208.17,1.2,76.0,2.0,5.0,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O,True,True,HAVWRBANWNTOJX-UHFFFAOYSA-N,not_in_drugcentral,,,,
TYROBP gene,Bromopride,2446.0,344.25,2.8,67.6,2.0,4.0,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,True,True,GIYAQDDTCWHPPL-UHFFFAOYSA-N,found,406.0,bromopride,A03FA04,True
TYROBP gene,Bromperidol,2448.0,420.3,3.3,40.5,1.0,4.0,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,True,True,RKLNONIVDFXQRX-UHFFFAOYSA-N,found,407.0,bromperidol,N05AD06,True
TYROBP gene,DMNB,88505.0,211.17,1.2,81.4,0.0,5.0,COC1=C(C=C(C(=C1)C=O)[N+](=O)[O-])OC,True,True,YWSPWKXREVSQCA-UHFFFAOYSA-N,not_in_drugcentral,,,,
TYROBP gene,Robustic-acid,54677407.0,380.4,3.8,74.2,1.0,6.0,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C,True,True,MBZKDBQDALOSRP-UHFFFAOYSA-N,not_in_drugcentral,,,,
TYROBP gene,Suvorexant,24965990.0,450.9,4.9,80.3,0.0,6.0,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,True,True,JYTNQNCOQXFQPK-MRXNPFEDSA-N,found,4881.0,suvorexant,N05CM19,True
TYROBP gene,firategrast,9935681.0,499.5,4.6,94.1,2.0,8.0,CCOCC1=CC(=C(C(=C1)OC)C2=CC=C(C=C2)C[C@@H](C(=O)O)NC(=O)C3=C(C=CC=C3F)F)OC,True,True,YLFZHHDVRSYTKT-NRFANRHFSA-N,not_in_drugcentral,,,,
TYROBP gene,isoeugenol,853433.0,164.2,2.6,29.5,1.0,2.0,C/C=C/C1=CC(=C(C=C1)O)OC,True,True,BJIOGJUNALELMI-ONEGZZNKSA-N,not_in_drugcentral,,,,
TYROBP gene,"isopropyl 4-(1-(2-fluoro-4-(methylsulfonyl)phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yloxy)piperidine-1-carboxylate",11705608.0,477.5,2.7,125.0,0.0,9.0,CC(C)OC(=O)N1CCC(CC1)OC2=NC=NC3=C2C=NN3C4=C(C=C(C=C4)S(=O)(=O)C)F,True,True,XTRUQJBVQBUKSQ-UHFFFAOYSA-N,not_in_drugcentral,,,,
TYROBP gene,safrolglycol,97807.0,196.2,0.8,58.9,2.0,4.0,C1OC2=C(O1)C=C(C=C2)CC(CO)O,True,True,FYDVPEVHFUBOJG-UHFFFAOYSA-N,not_in_drugcentral,,,,
NR1H2 gene,1-phenylbiguanide,4780.0,177.21,0.0,103.0,3.0,1.0,C1=CC=C(C=C1)N=C(N)N=C(N)N,True,False,CUQCMXFWIMOWRP-UHFFFAOYSA-N,not_in_drugcentral,,,,
