id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
7593,"Tetratricopeptide repeat protein 16",TTC16,,,Tdark,Q8NEE8,,14.55737705,0.00037023
18443,"Olfactory receptor 5H2",OR5H2,"oGPCR","oGPCR",Tdark,Q8NGV7,DTO_02100626,15.80588299,0.00024894
5101,"Speedy protein E3",SPDYE3,,,Tdark,A6NKU9,,43.71428571,0.00008403
7777,"Tumor necrosis factor",TNF,,,Tclin,P01375,DTO_05003512,0.00001457,65.84776604
19406,"Interleukin-6",IL6,,,Tclin,P05231,,0.00001819,65.0641039
15991,"RAC-alpha serine/threonine-protein kinase",AKT1,"Kinase","Kinase",Tchem,P31749,DTO_03100019,0.00003185,55.18488737
6322,"Glyceraldehyde-3-phosphate dehydrogenase",GAPDH,"Enzyme",,Tchem,P04406,DTO_05005098,0.00005849,32.29858262
20037,"Neurogenic locus notch homolog protein 1",NOTCH1,,,Tchem,P46531,,0.00012547,29.23012173
10956,"Neprilysin",MME,"Enzyme","peptidase",Tclin,P08473,DTO_05004397,0.00019144,28.30480234
3945,"Major prion protein",PRNP,,,Tchem,P04156,,0.00033976,19.86945276
10330,"RNA binding protein fox-1 homolog 3",RBFOX3,,,Tbio,A6NFN3,DTO_05002119,0.00038317,19.67847899
13175,"Carbonic anhydrase 4",CA4,"Enzyme","carbonic anhydrase",Tclin,P22748,,0.0004916,18.2072774
17952,"Glutamate receptor 1",GRIA1,"IC","IC",Tclin,P42261,DTO_01100133,0.0005008,9.98390202
16153,"Alpha-1-antichymotrypsin",SERPINA3,,,Tbio,P01011,DTO_05002724,0.00134253,9.52803407
2840,"Cerebellar degeneration-related protein 2",CDR2,,,Tbio,Q01850,,0.00141419,6.22893486
7707,"Synaptosomal-associated protein 25",SNAP25,,,Tclin,P60880,DTO_05002448,0.00148905,4.89547569
15142,"Vesicular glutamate transporter 1",SLC17A7,"Transporter","SLC17A_transporter",Tbio,Q9P2U7,DTO_05000610,0.00165722,4.49354085
15518,"Apolipoprotein D",APOD,,,Tbio,P05090,,0.0031899,3.49417746
16875,"Apolipoprotein C-I",APOC1,,,Tbio,P02654,,0.00338935,3.05363515
